Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|07-Jun-2017|Routine|92|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Contact Surfaces', 'Food Labeling', 'Food Safety Certification', 'Food Separated and Protected', 'Wiping Cloths']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|07-Jun-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|25-Aug-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|25-Aug-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|25-Aug-2016|Routine|99|No major violations observed|['Food Labeling']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|25-Aug-2016|Routine|97|No major violations observed|['Holding Temperatures', 'Thermometers']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|25-Aug-2016|Routine|95|No major violations observed|['Equipment and Utensil Storage, Use', 'Holding Temperatures', 'Thermometers', 'Wiping Cloths']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF SEASIDE MARKET|2087 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|07-Jun-2017|NULL|NULL|15-Jan-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899584052
CARDIFF VALERO|820 BIRMINGHAM DR, CARDIFF BY THE SEA, CA 92007|17-Nov-2016|100|A|17-Nov-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899313021
CARDIFF VALERO|820 BIRMINGHAM DR, CARDIFF BY THE SEA, CA 92007|17-Nov-2016|100|A|07-Jan-2016|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899313021
CARDIFF VALERO|820 BIRMINGHAM DR, CARDIFF BY THE SEA, CA 92007|17-Nov-2016|100|A|11-Feb-2015|Routine|97|No major violations observed|['Food Contact Surfaces', 'Nonfood Contact Surfaces Clean']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899313021
CHART HOUSE|2588 S HY 101, CARDIFF BY THE SEA, CA 92007|01-Mar-2017|95|A|01-Mar-2017|Routine|95|No major violations observed|['Approved Equipment and Utensils', 'Food Contact Surfaces', 'Nonfood Contact Surfaces Clean', 'Ventilation and Lighting']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898361714
CHART HOUSE|2588 S HY 101, CARDIFF BY THE SEA, CA 92007|01-Mar-2017|95|A|25-Feb-2016|Other|Directed|No major violations observed|['Holding Temperatures', 'Hot and Cold Water', 'Proper Handwashing Facilities']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898361714
